idx,ENCODED_ID
701,rn_A9_29
702,rn_A9_3
703,rn_A9_30
704,rn_A9_31
705,rn_A9_32
706,rn_A9_33
707,rn_A9_34
708,rn_A9_35
709,rn_A9_36
710,rn_A9_4
711,rn_A9_5
712,rn_A9_6
713,rn_A9_7
714,rn_A9_8
715,rn_A9_9
716,rn_B10_1
717,rn_B10_10
718,rn_B10_11
719,rn_B10_12
720,rn_B10_13
721,rn_B10_14
722,rn_B10_15
723,rn_B10_16
724,rn_B10_17
725,rn_B10_18
726,rn_B10_19
727,rn_B10_2
728,rn_B10_20
729,rn_B10_21
730,rn_B10_22
731,rn_B10_23
732,rn_B10_24
733,rn_B10_25
734,rn_B10_26
735,rn_B10_27
736,rn_B10_28
737,rn_B10_29
738,rn_B10_3
739,rn_B10_30
740,rn_B10_31
741,rn_B10_32
742,rn_B10_33
743,rn_B10_34
744,rn_B10_35
745,rn_B10_36
746,rn_B10_4
747,rn_B10_5
748,rn_B10_6
749,rn_B10_7
750,rn_B10_8
751,rn_B10_9
752,rn_B11_1
753,rn_B11_10
754,rn_B11_11
755,rn_B11_12
756,rn_B11_13
757,rn_B11_14
758,rn_B11_15
759,rn_B11_16
760,rn_B11_17
761,rn_B11_18
762,rn_B11_19
763,rn_B11_2
764,rn_B11_20
765,rn_B11_21
766,rn_B11_22
767,rn_B11_23
768,rn_B11_24
769,rn_B11_25
770,rn_B11_26
771,rn_B11_27
772,rn_B11_28
773,rn_B11_29
774,rn_B11_3
775,rn_B11_30
776,rn_B11_31
777,rn_B11_32
778,rn_B11_33
779,rn_B11_34
780,rn_B11_35
781,rn_B11_36
782,rn_B11_4
783,rn_B11_5
784,rn_B11_6
785,rn_B11_7
786,rn_B11_8
787,rn_B11_9
788,rn_B12_1
789,rn_B12_10
790,rn_B12_11
791,rn_B12_12
792,rn_B12_13
793,rn_B12_14
794,rn_B12_15
795,rn_B12_16
796,rn_B12_17
797,rn_B12_18
798,rn_B12_19
799,rn_B12_2
800,rn_B12_20
801,rn_B12_21
802,rn_B12_22
803,rn_B12_23
